"Timestamp","What is your gender?","What year did you complete you SPM?","  Which state did you complete your SPM in?  ","  What type of secondary school did you attend?  ","Which stream did you take during SPM? (Select up to 2)","What was your SPM results?","Which subjects did you enjoy most during SPM? (Select up to 3)  ","Which subjects did you find most difficult during SPM? (Select up to 3)   ","How would you describe your personality?  ","Which type of tasks do you enjoy most? (Select up to 2)","How would you describe your characteristics? (Select up to 3)","How comfortable are you with public speaking or presentations?  ","Which pre-university program or course did you take after SPM?  ","What major / field of study did you pursue / currently pursuing?  ","What were the main reasons for choosing that major? (Select up to 3)  ","Would you say your field of study is related to your stream you were in for SPM?","How satisfied are you with your current field of study?  ","What advice would you give to current SPM students choosing their major?  "
"2025/11/18 1:01:24 AM GMT+8","Female","SPM 2021","Johor","Boarding School (SBP / MRSM etc)","Arts;Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc)","6 - 8 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Science Subjects (Science, Biology, Physics);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects;Technology & Computing Subjects","Extrovert","Creating or designing things;Organizing, planning, or managing","Creative;Outgoing;Persuasive","5","Foundation","Media & Communication","Personal interest & Passion;Job opportunities","Yes","5","Imagine your life in 20 years and choose based on that"
"2025/11/18 1:03:33 AM GMT+8","Male","SPM 2021","Kuala Lumpur","Private School","Arts;Accountancy & Commerce (Perniagaan, Ekonomi etc)","9+ As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Extrovert","Creating or designing things;Helping and communicating with people;Organizing, planning, or managing","Creative;Adventurous;Outgoing","5","Foundation","Media & Communication","Personal interest & Passion;Academic strength in SPM subjects;Job opportunities","Yes","5","Pick wiselyy"
"2025/11/18 1:08:24 AM GMT+8","Female","SPM 2021","Kedah","Boarding School (SBP / MRSM etc)","Accountancy & Commerce (Perniagaan, Ekonomi etc);Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc)","1 - 2 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Mathematical Subjects","Science Subjects (Science, Biology, Physics);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Introvert","Helping and communicating with people;Organizing, planning, or managing","Strategic;Observant;Innovative","2","Matriculation","Science & Mathematics (Biology, Chemistry, Mathematics etc)","Personal interest & Passion;Academic strength in SPM subjects;Family expectation","Yes","5","Choose wisely "
"2025/11/18 1:11:28 AM GMT+8","Male","SPM 2022","Negeri Sembilan","Public School (SMK / SMJKC)","Arts;Sports Science","1 - 2 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Extrovert","Helping and communicating with people;Organizing, planning, or managing","Outgoing;Persuasive;Compassionate","4","Matriculation","Business & Management (Accounting, Finance, Marketing etc)","Academic strength in SPM subjects;Job opportunities;Peers / Friends influence","No","2","Take as much time choosing "
"2025/11/18 1:17:35 AM GMT+8","Male","SPM 2019 or earlier","Perlis","Religous School (Sekolah Agama)","Science (Biology, Chemistry etc);Islamic Studies","6 - 8 As (A-, A, A+)","Mathematical Subjects;Science Subjects (Science, Biology, Physics);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Language Subjects (B. Melayu, B. Inggeris, B. Arab)","Introvert","Organizing, planning, or managing;Experimenting and researching","Strategic;Observant;Innovative","2","STPM","Science & Mathematics (Biology, Chemistry, Mathematics etc)","Personal interest & Passion;Academic strength in SPM subjects;Family expectation","Yes","2","find your passion"
"2025/11/18 1:20:57 AM GMT+8","Male","SPM 2020","Kuala Lumpur","Private School","Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc)","3 - 5 As (A-, A, A+)","Mathematical Subjects;Technical & Engineering Subjects","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Introvert","Experimenting and researching;Writing or storytelling","Analytical;Persuasive;Innovative","4","Foundation","Business & Management (Accounting, Finance, Marketing etc)","Academic strength in SPM subjects;University / Scolarship offer;Family expectation","No","4","Choose your passion "
"2025/11/18 1:24:57 AM GMT+8","Female","SPM 2021","Pahang","Private School","Arts;Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc)","9+ As (A-, A, A+)","Mathematical Subjects;Technical & Engineering Subjects;Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Science Subjects (Science, Biology, Physics)","Introvert","Solving logical or mathematical problems;Creating or designing things;Helping and communicating with people","Strategic;Observant;Innovative","5","Diploma","Architecture & Built Environment","Personal interest & Passion;Academic strength in SPM subjects;Peers / Friends influence","Yes","5","Find what you’re interested in and explore first"
"2025/11/18 1:29:34 AM GMT+8","Female","SPM 2020","Sarawak","Public School (SMK / SMJKC)","Accountancy & Commerce (Perniagaan, Ekonomi etc)","6 - 8 As (A-, A, A+)","Mathematical Subjects;Accountancy & Commerce Subjects","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Science Subjects (Science, Biology, Physics)","Introvert","Solving logical or mathematical problems;Analysing and interpreting data","Analytical;Observant;Resiliant","2","Foundation","Business & Management (Accounting, Finance, Marketing etc)","Personal interest & Passion;Job opportunities;Peers / Friends influence","Yes","4","Ask everyone for different opinions "
"2025/11/18 1:32:46 AM GMT+8","Female","SPM 2021","Melaka","Public School (SMK / SMJKC)","Arts","3 - 5 As (A-, A, A+)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Extrovert","Solving logical or mathematical problems;Experimenting and researching","Outgoing;Persuasive;Compassionate","5","Matriculation","Engineering (Mechanical, Civil, Electrical etc)","Personal interest & Passion","No","4","Follow your heartt"
"2025/11/18 1:34:17 AM GMT+8","Male","SPM 2022","Melaka","Boarding School (SBP / MRSM etc)","Science (Biology, Chemistry etc)","3 - 5 As (A-, A, A+)","Mathematical Subjects;Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Science Subjects (Science, Biology, Physics)","Extrovert","Creating or designing things;Helping and communicating with people","Creative;Observant;Innovative","4","Diploma","Architecture & Built Environment","Personal interest & Passion;Job opportunities","No","5","Choose what you love"
"2025/11/18 1:36:33 AM GMT+8","Female","SPM 2021","Negeri Sembilan","Public School (SMK / SMJKC)","Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc)","9+ As (A-, A, A+)","Mathematical Subjects;Science Subjects (Science, Biology, Physics);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Language Subjects (B. Melayu, B. Inggeris, B. Arab)","Introvert","Solving logical or mathematical problems;Analysing and interpreting data","Observant;Innovative;Reserved","5","Foundation","Computer Science, Software & Data (Cybersecurity, Data Analytics etc)","Job opportunities;Salary potential;Family expectation","No","1","Follow your passion "
"2025/11/18 1:39:02 AM GMT+8","Female","SPM 2019 or earlier","Johor","Private School","Arts","6 - 8 As (A-, A, A+)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Extrovert","Helping and communicating with people;Experimenting and researching","Strategic;Persuasive;Compassionate","4","Diploma","Architecture & Built Environment","Personal interest & Passion;Job opportunities;Peers / Friends influence","Yes","4","Choose what you love "
"2025/11/18 1:40:45 AM GMT+8","Female","SPM 2019 or earlier","Melaka","Boarding School (SBP / MRSM etc)","Accountancy & Commerce (Perniagaan, Ekonomi etc);Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc)","9+ As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Technical & Engineering Subjects","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Extrovert","Solving logical or mathematical problems;Helping and communicating with people;Writing or storytelling","Adventurous;Strategic;Compassionate","5","Foundation","Architecture & Built Environment","Job opportunities;Salary potential;Family expectation","Yes","2","Follow your dreams"
"2025/11/18 1:42:13 AM GMT+8","Female","SPM 2021","Kuala Lumpur","Private School","Arts","9+ As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Science Subjects (Science, Biology, Physics);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects","Extrovert","Creating or designing things;Helping and communicating with people","Persuasive;Resiliant;Innovative","5","Diploma","Law & Legal Studies","Personal interest & Passion;Family expectation","No","5","Take quizzes to know better"
"2025/11/18 3:14:55 PM GMT+8","Male","SPM 2021","Kuala Lumpur","Public School (SMK / SMJKC)","Arts;Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc)","1 - 2 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects;Technology & Computing Subjects","Introvert","Creating or designing things;Writing or storytelling","Creative;Observant;Compassionate","2","Foundation","Computer Science, Software & Data (Cybersecurity, Data Analytics etc)","Job opportunities;Salary potential;Peers / Friends influence","No","2","do a lot of research on the job market"
"2025/11/18 3:19:35 PM GMT+8","Male","SPM 2020","Melaka","Boarding School (SBP / MRSM etc)","Science (Biology, Chemistry etc);Accountancy & Commerce (Perniagaan, Ekonomi etc);Islamic Studies","9+ As (A-, A, A+)","Mathematical Subjects;Science Subjects (Science, Biology, Physics);Accountancy & Commerce Subjects","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Extrovert","Helping and communicating with people;Organizing, planning, or managing","Outgoing;Persuasive;Resiliant","5","A-Levels","Law & Legal Studies","Personal interest & Passion;Salary potential;Family expectation","No","5","SPM subjects don't matter as much as you think"
"2025/11/19 9:16:55 AM GMT+8","Male","SPM 2022","Sarawak","Boarding School (SBP / MRSM etc)","Arts;Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc)","1 - 2 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Science Subjects (Science, Biology, Physics);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects;Technical & Engineering Subjects","Introvert","Creating or designing things;Experimenting and researching","Strategic;Resiliant;Reserved","1","Matriculation","Architecture & Built Environment","Academic strength in SPM subjects;Job opportunities;Family expectation;Peers / Friends influence","Yes","1","Don’t choose for other’s satisfaction "
"2025/11/19 9:20:28 AM GMT+8","Male","SPM 2019 or earlier","Sabah","Boarding School (SBP / MRSM etc)","Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc)","3 - 5 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Science Subjects (Science, Biology, Physics);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects;Technology & Computing Subjects;Technical & Engineering Subjects","Introvert","Creating or designing things;Writing or storytelling","Resiliant;Innovative;Reserved","2","Matriculation","Engineering (Mechanical, Civil, Electrical etc)","Family expectation;Peers / Friends influence","No","1","Don’t choose based on only family’s opinions "
"2025/11/19 9:22:41 AM GMT+8","Female","SPM 2019 or earlier","Kuala Lumpur","Private School","Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc)","9+ As (A-, A, A+)","Mathematical Subjects;Technology & Computing Subjects;Technical & Engineering Subjects","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Extrovert","Creating or designing things;Helping and communicating with people;Organizing, planning, or managing","Creative;Adventurous;Compassionate","5","Foundation","Media & Communication","Personal interest & Passion;Job opportunities;Salary potential","No","5","spm subjects aren’t as important "
"2025/11/19 9:29:04 AM GMT+8","Male","SPM 2020","Sarawak","Public School (SMK / SMJKC)","Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc)","1 - 2 As (A-, A, A+)","Mathematical Subjects;Technology & Computing Subjects;Technical & Engineering Subjects","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Science Subjects (Science, Biology, Physics);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Extrovert","Solving logical or mathematical problems;Experimenting and researching","Adventurous;Compassionate;Innovative","5","Matriculation","Architecture & Built Environment","Personal interest & Passion;Family expectation","Yes","2","Don’t choose hard course just so you could feel better about yourself "
"2025/11/19 9:32:15 AM GMT+8","Female","SPM 2021","Melaka","Boarding School (SBP / MRSM etc)","Arts;Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc)","9+ As (A-, A, A+)","Mathematical Subjects;Science Subjects (Science, Biology, Physics);Technical & Engineering Subjects","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Extrovert","Helping and communicating with people;Organizing, planning, or managing","Adventurous;Resiliant;Innovative","5","Foundation","Architecture & Built Environment","Personal interest & Passion;Job opportunities;University / Scolarship offer","Yes","5","Explore different options of courses in different universities "
"2025/11/19 9:37:22 AM GMT+8","Female","SPM 2020","Sabah","Boarding School (SBP / MRSM etc)","Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc)","1 - 2 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Mathematical Subjects;Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Technology & Computing Subjects;Technical & Engineering Subjects","Extrovert","Experimenting and researching;Writing or storytelling","Analytical;Persuasive;Innovative","5","Matriculation","Engineering (Mechanical, Civil, Electrical etc)","Job opportunities;Family expectation;Peers / Friends influence","Yes","1","Choose your passion "
"2025/11/19 9:48:46 AM GMT+8","Male","SPM 2020","Sarawak","Boarding School (SBP / MRSM etc)","Accountancy & Commerce (Perniagaan, Ekonomi etc)","6 - 8 As (A-, A, A+)","Mathematical Subjects;Science Subjects (Science, Biology, Physics);Accountancy & Commerce Subjects","Language Subjects (B. Melayu, B. Inggeris, B. Arab)","Introvert","Experimenting and researching;Analysing and interpreting data","Analytical;Resiliant;Compassionate","4","Foundation","Computer Science, Software & Data (Cybersecurity, Data Analytics etc)","Personal interest & Passion;Job opportunities;Salary potential","No","4","Give yourself a chance to have choices over your life, don’t let others decide "
"2025/11/19 9:51:40 AM GMT+8","Male","SPM 2024","Johor","Private School","Accountancy & Commerce (Perniagaan, Ekonomi etc)","9+ As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Extrovert","Helping and communicating with people;Experimenting and researching","Adventurous;Persuasive;Resiliant","4","A-Levels","Science & Mathematics (Biology, Chemistry, Mathematics etc)","Personal interest & Passion;University / Scolarship offer;Salary potential","Yes","4","Choose wisely, choosing wrong can lead to regrets "
"2025/11/19 9:58:04 AM GMT+8","Female","SPM 2024","Johor","Boarding School (SBP / MRSM etc)","Accountancy & Commerce (Perniagaan, Ekonomi etc)","6 - 8 As (A-, A, A+)","Mathematical Subjects;Science Subjects (Science, Biology, Physics);Accountancy & Commerce Subjects","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Introvert","Experimenting and researching;Analysing and interpreting data","Analytical;Observant;Reserved","1","Foundation","Business & Management (Accounting, Finance, Marketing etc)","Personal interest & Passion;Academic strength in SPM subjects;University / Scolarship offer","Yes","5","Try to apply for a lot of scholarships "
"2025/11/19 10:02:33 AM GMT+8","Male","SPM 2021","Johor","Private School","Arts;Accountancy & Commerce (Perniagaan, Ekonomi etc)","9+ As (A-, A, A+)","Mathematical Subjects;Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral);Accountancy & Commerce Subjects","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Science Subjects (Science, Biology, Physics)","Introvert","Experimenting and researching;Analysing and interpreting data","Analytical;Observant;Reserved","1","A-Levels","Business & Management (Accounting, Finance, Marketing etc)","Personal interest & Passion;Academic strength in SPM subjects;University / Scolarship offer","Yes","5","Don’t take the time you have for granted, use it for research "
"2025/11/19 10:05:33 AM GMT+8","Female","SPM 2021","Johor","Boarding School (SBP / MRSM etc)","Arts;Accountancy & Commerce (Perniagaan, Ekonomi etc)","9+ As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral);Accountancy & Commerce Subjects","Extrovert","Organizing, planning, or managing;Experimenting and researching","Outgoing;Persuasive;Innovative","2","Diploma","Law & Legal Studies","University / Scolarship offer;Salary potential;Peers / Friends influence","No","1","Have your own opinions and avoid choosing just because of your friends choices "
"2025/11/19 10:09:44 AM GMT+8","Male","SPM 2020","Johor","Private School","Science (Biology, Chemistry etc)","9+ As (A-, A, A+)","Mathematical Subjects;Science Subjects (Science, Biology, Physics);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Language Subjects (B. Melayu, B. Inggeris, B. Arab)","Introvert","Solving logical or mathematical problems;Experimenting and researching","Analytical;Observant;Reserved","2","A-Levels","Health & Medical Sciences (Medicine, Pharmacy, Dentristry etc)","Personal interest & Passion;Job opportunities;Salary potential","Yes","2","What you’re passionate in in high school might not be your current passion "
"2025/11/19 10:11:46 AM GMT+8","Male","SPM 2020","Johor","Religous School (Sekolah Agama)","Science (Biology, Chemistry etc);Islamic Studies","6 - 8 As (A-, A, A+)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Introvert","Experimenting and researching;Analysing and interpreting data","Analytical;Observant;Reserved","1","A-Levels","Business & Management (Accounting, Finance, Marketing etc)","Academic strength in SPM subjects;Job opportunities;University / Scolarship offer","Yes","4","Choose your own path "
"2025/11/19 10:16:30 AM GMT+8","Male","SPM 2020","Johor","Religous School (Sekolah Agama)","Science (Biology, Chemistry etc);Islamic Studies","6 - 8 As (A-, A, A+)","Mathematical Subjects;Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral);Accountancy & Commerce Subjects","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Science Subjects (Science, Biology, Physics)","Introvert","Solving logical or mathematical problems;Experimenting and researching","Analytical;Compassionate;Reserved","2","A-Levels","Business & Management (Accounting, Finance, Marketing etc)","Academic strength in SPM subjects;Job opportunities;University / Scolarship offer","Yes","4","Don’t be afraid and go for what you want "
"2025/11/19 10:18:47 AM GMT+8","Male","SPM 2019 or earlier","Negeri Sembilan","Religous School (Sekolah Agama)","Accountancy & Commerce (Perniagaan, Ekonomi etc);Islamic Studies","6 - 8 As (A-, A, A+)","Mathematical Subjects;Science Subjects (Science, Biology, Physics);Accountancy & Commerce Subjects","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Introvert","Solving logical or mathematical problems;Experimenting and researching","Resiliant;Innovative;Reserved","2","Foundation","Business & Management (Accounting, Finance, Marketing etc)","Academic strength in SPM subjects;Job opportunities;University / Scolarship offer","Yes","2","Explore different options and do research "
"2025/11/19 10:21:06 AM GMT+8","Female","SPM 2021","Johor","Religous School (Sekolah Agama)","Accountancy & Commerce (Perniagaan, Ekonomi etc);Islamic Studies","6 - 8 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Mathematical Subjects;Accountancy & Commerce Subjects","Science Subjects (Science, Biology, Physics);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Introvert","Experimenting and researching;Writing or storytelling","Resiliant;Innovative;Reserved","2","Diploma","Law & Legal Studies","Job opportunities;University / Scolarship offer;Family expectation","No","4","Fight for your passion and future "
"2025/11/19 10:22:57 AM GMT+8","Male","SPM 2020","Johor","Public School (SMK / SMJKC)","Science (Biology, Chemistry etc);Accountancy & Commerce (Perniagaan, Ekonomi etc)","9+ As (A-, A, A+)","Mathematical Subjects;Science Subjects (Science, Biology, Physics);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Accountancy & Commerce Subjects","Introvert","Solving logical or mathematical problems;Experimenting and researching","Analytical;Resiliant;Reserved","2","A-Levels","Science & Mathematics (Biology, Chemistry, Mathematics etc)","University / Scolarship offer;Family expectation;Peers / Friends influence","Yes","2","Discuss with your parents and fight for what you deserve "
"2025/11/19 10:24:53 AM GMT+8","Female","SPM 2020","Johor","Religous School (Sekolah Agama)","Science (Biology, Chemistry etc);Accountancy & Commerce (Perniagaan, Ekonomi etc);Islamic Studies","9+ As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Introvert","Organizing, planning, or managing;Experimenting and researching","Outgoing;Compassionate;Reserved","2","Foundation","Computer Science, Software & Data (Cybersecurity, Data Analytics etc)","Personal interest & Passion;Job opportunities;University / Scolarship offer","No","5","Choose in what you believe in "
"2025/11/19 2:20:51 PM GMT+8","Female","SPM 2022","Negeri Sembilan","Private School","Science (Biology, Chemistry etc);Islamic Studies","6 - 8 As (A-, A, A+)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Extrovert","Helping and communicating with people;Organizing, planning, or managing","Adventurous;Outgoing;Compassionate","4","Matriculation","Computer Science, Software & Data (Cybersecurity, Data Analytics etc)","Academic strength in SPM subjects;University / Scolarship offer;Family expectation","Yes","1","Do a lot of research"
"2025/11/19 2:23:01 PM GMT+8","Female","SPM 2020","Pahang","Public School (SMK / SMJKC)","Accountancy & Commerce (Perniagaan, Ekonomi etc);Sports Science","6 - 8 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Extrovert","Creating or designing things;Helping and communicating with people","Strategic;Resiliant;Innovative","4","Foundation","Business & Management (Accounting, Finance, Marketing etc)","Academic strength in SPM subjects;Job opportunities;Salary potential","Yes","5","Please take your time and do alot of research "
"2025/11/19 2:25:38 PM GMT+8","Male","SPM 2020","Negeri Sembilan","Public School (SMK / SMJKC)","Science (Biology, Chemistry etc)","3 - 5 As (A-, A, A+)","Science Subjects (Science, Biology, Physics);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Mathematical Subjects","Introvert","Experimenting and researching;Writing or storytelling","Analytical;Observant;Resiliant","4","Diploma","Media & Communication","Personal interest & Passion;Job opportunities;Salary potential","No","5","SPM subjects don’t dictate your future amd career"
"2025/11/19 2:37:05 PM GMT+8","Female","SPM 2022","Negeri Sembilan","Boarding School (SBP / MRSM etc)","Science (Biology, Chemistry etc)","9+ As (A-, A, A+)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Extrovert","Organizing, planning, or managing;Experimenting and researching","Outgoing;Observant;Compassionate","4","A-Levels","Science & Mathematics (Biology, Chemistry, Mathematics etc)","Personal interest & Passion;Academic strength in SPM subjects;University / Scolarship offer","No","5","Try to write down all the possible outcomes of each option"
"2025/11/19 7:39:20 PM GMT+8","Male","SPM 2021","Negeri Sembilan","Religous School (Sekolah Agama)","Arts;Islamic Studies","6 - 8 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Science Subjects (Science, Biology, Physics)","Mathematical Subjects;Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Extrovert","Experimenting and researching;Writing or storytelling","Observant;Resiliant;Innovative","2","Diploma","Architecture & Built Environment","Personal interest & Passion;Academic strength in SPM subjects;Salary potential","Yes","5","Follow your passion"
"2025/11/19 7:46:23 PM GMT+8","Female","SPM 2019 or earlier","Negeri Sembilan","Boarding School (SBP / MRSM etc)","Accountancy & Commerce (Perniagaan, Ekonomi etc)","3 - 5 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Science Subjects (Science, Biology, Physics);Accountancy & Commerce Subjects","Introvert","Experimenting and researching;Writing or storytelling","Strategic;Resiliant;Innovative","1","Diploma","Business & Management (Accounting, Finance, Marketing etc)","Academic strength in SPM subjects;Job opportunities;Peers / Friends influence","Yes","1","Just because you took it for SPM, doesn't mean you have to have it as your career"
"2025/11/19 7:54:12 PM GMT+8","Male","SPM 2020","Pahang","Public School (SMK / SMJKC)","Science (Biology, Chemistry etc)","1 - 2 As (A-, A, A+)","Science Subjects (Science, Biology, Physics);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Mathematical Subjects","Extrovert","Helping and communicating with people;Writing or storytelling","Strategic;Observant;Innovative","4","Diploma","Law & Legal Studies","Personal interest & Passion;Job opportunities;Salary potential","No","5","choose your the course you're passionate in"
"2025/11/19 7:58:01 PM GMT+8","Female","SPM 2022","Selangor","Public School (SMK / SMJKC)","Arts;Sports Science","3 - 5 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Science Subjects (Science, Biology, Physics)","Mathematical Subjects;Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Extrovert","Creating or designing things;Organizing, planning, or managing","Creative;Persuasive;Resiliant","4","Diploma","Computer Science, Software & Data (Cybersecurity, Data Analytics etc)","Personal interest & Passion;Job opportunities;Salary potential","No","5","Explore different field of studies and find one that sticks"
"2025/11/19 8:00:51 PM GMT+8","Male","SPM 2021","Selangor","Public School (SMK / SMJKC)","Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc);Sports Science","3 - 5 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Science Subjects (Science, Biology, Physics);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects;Technical & Engineering Subjects","Extrovert","Organizing, planning, or managing;Experimenting and researching","Creative;Strategic;Observant","4","Diploma","Creative Art (Fashion Design, Interior Design etc)","Personal interest & Passion","No","5","Don't let SPM subjects put you in a box and explore other thing"
"2025/11/19 8:03:55 PM GMT+8","Female","SPM 2021","Selangor","Public School (SMK / SMJKC)","Science (Biology, Chemistry etc)","9+ As (A-, A, A+)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Introvert","Experimenting and researching;Analysing and interpreting data","Analytical;Compassionate;Reserved","1","Matriculation","Health & Medical Sciences (Medicine, Pharmacy, Dentristry etc)","Personal interest & Passion;Academic strength in SPM subjects;University / Scolarship offer","Yes","4","Take your time choosing"
